item_idx,item_id,title,description,text,language,difficulty,theme,software,job,type,duration,thumbnail_path
21,110611,Aster for creating my recurring meeting,"Discover how to create a recurring meeting with the Microsoft Teams tool in this practical video for Microsoft 365 professionals. This resource shows you how to use the meeting scheduling tool to create a recurring meeting, set participants and times, and send invitations.
You will also learn how to manage recurring meetings and make changes if necessary.
This video is intended for Microsoft 365 professionals who want to improve their management of recurring meetings.
Associated tags are Microsoft 365, Teams, meeting scheduling, recurring meetings.","Aster for creating my recurring meeting
Discover how to create a recurring meeting with the Microsoft Teams tool in this practical video for Microsoft 365 professionals. This resource shows you how to use the meeting scheduling tool to create a recurring meeting, set participants and times, and send invitations.
You will also learn how to manage recurring meetings and make changes if necessary.
This video is intended for Microsoft 365 professionals who want to improve their management of recurring meetings.
Associated tags are Microsoft 365, Teams, meeting scheduling, recurring meetings.",en,1 - Beginner,Organize,Aster,,use_case,289.0,https://i.ibb.co/jk2jySC9/item-110611.jpg
22,110612,Complete the meeting minutes from note-taking,"Learn how to complete meeting minutes using Microsoft 365 note‑taking tools in this practical video for professionals. This resource shows how to use OneNote to take notes during a meeting, then use those notes to create detailed, professional minutes. You’ll also learn how to share the minutes with participants and collaborate to make changes if needed. Intended for Microsoft 365 professionals looking to improve note‑taking and meeting minutes. Tags: Microsoft 365, OneNote, meeting minutes, note‑taking.","Complete the meeting minutes from note-taking
Learn how to complete meeting minutes using Microsoft 365 note‑taking tools in this practical video for professionals. This resource shows how to use OneNote to take notes during a meeting, then use those notes to create detailed, professional minutes. You’ll also learn how to share the minutes with participants and collaborate to make changes if needed. Intended for Microsoft 365 professionals looking to improve note‑taking and meeting minutes. Tags: Microsoft 365, OneNote, meeting minutes, note‑taking.",en,1 - Beginner,,Aster,,use_case,28.0,https://i.ibb.co/G4pr7BYZ/item-110612.jpg
23,110613,Time Keeper,"Discover how to record your work hours and set disconnect reminders with the Time Keeper tool from Microsoft Insight in this practical video for Microsoft 365 professionals. This resource shows you how to enter your work hours and set disconnect reminders to help you better manage your time and establish a clear boundary between your professional and personal life. You will also learn how to use the virtual route to schedule a reminder in Microsoft Teams and how to customize your work week settings. This video is intended for Microsoft 365 professional users who want to improve their time management and work‑life balance. Associated tags are Microsoft 365, Time Keeper, time management, disconnect reminders.","Time Keeper
Discover how to record your work hours and set disconnect reminders with the Time Keeper tool from Microsoft Insight in this practical video for Microsoft 365 professionals. This resource shows you how to enter your work hours and set disconnect reminders to help you better manage your time and establish a clear boundary between your professional and personal life. You will also learn how to use the virtual route to schedule a reminder in Microsoft Teams and how to customize your work week settings. This video is intended for Microsoft 365 professional users who want to improve their time management and work‑life balance. Associated tags are Microsoft 365, Time Keeper, time management, disconnect reminders.",en,2 - Intermediate,,Aster,,use_case,71.0,https://i.ibb.co/spTPbSCx/item-110613.jpg
24,111581,Make phone calls,"Discover how to make telephone calls on Teams. With a calling plan and proper configuration, you can use the Calls tab, the numeric keypad, and the Call button. Learn to communicate like on a regular phone!","Make phone calls
Discover how to make telephone calls on Teams. With a calling plan and proper configuration, you can use the Calls tab, the numeric keypad, and the Call button. Learn to communicate like on a regular phone!",en,1 - Beginner,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,67.0,https://i.ibb.co/W4H2qVyZ/item-111581.jpg
25,111582,Receive telephone calls,"Discover how to receive telephone calls with Teams. With this feature, you can receive your calls directly in Teams, whether on your computer or on your phone. Never miss an important call again!","Receive telephone calls
Discover how to receive telephone calls with Teams. With this feature, you can receive your calls directly in Teams, whether on your computer or on your phone. Never miss an important call again!",en,1 - Beginner,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,46.0,https://i.ibb.co/KpS1Mxnq/item-111582.jpg
26,111583,"Put on hold, mute your microphone",Learn how to put on hold and mute your microphone to avoid background noise during your communications. You can also put your interlocutor on hold for a certain period. Learn to use these essential features on Teams.,"Put on hold, mute your microphone
Learn how to put on hold and mute your microphone to avoid background noise during your communications. You can also put your interlocutor on hold for a certain period. Learn to use these essential features on Teams.",en,1 - Beginner,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,45.0,https://i.ibb.co/20GHmGns/item-111583.jpg
27,111584,Add other people to an ongoing call,"Discover how to add other people to an ongoing call on Teams. During a conversation, click the 'Show participants' button and search for another contact or enter their number. Once the new participant accepts the call, you can add them to the ongoing conference. Learn to communicate more effectively with Teams!","Add other people to an ongoing call
Discover how to add other people to an ongoing call on Teams. During a conversation, click the 'Show participants' button and search for another contact or enter their number. Once the new participant accepts the call, you can add them to the ongoing conference. Learn to communicate more effectively with Teams!",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,44.0,https://i.ibb.co/4nyT8XFC/item-111584.jpg
28,111585,Manage Multiple Calls at Once,"[""Découvrez comment gérer plusieurs appels en même temps grâce à cette vidéo. Vous apprendrez notamment comment accepter un deuxième appel tout en étant déjà en communication. Ne manquez pas cette astuce pour une meilleure gestion de vos appels!""]","Manage Multiple Calls at Once
[""Découvrez comment gérer plusieurs appels en même temps grâce à cette vidéo. Vous apprendrez notamment comment accepter un deuxième appel tout en étant déjà en communication. Ne manquez pas cette astuce pour une meilleure gestion de vos appels!""]",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,70.0,https://i.ibb.co/WWfrQJYC/item-111585.jpg
29,111586,Transfer a call,"Learn how to transfer a call with or without consulting the recipient. Open the options menu, select 'transfer', and enter the number or search for the contact to transfer to. This video guides you step‑by‑step to master this essential Teams feature.","Transfer a call
Learn how to transfer a call with or without consulting the recipient. Open the options menu, select 'transfer', and enter the number or search for the contact to transfer to. This video guides you step‑by‑step to master this essential Teams feature.",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,96.0,https://i.ibb.co/LXJLZCqD/item-111586.jpg
30,111587,Forward your calls to another number,"Discover how to forward your calls to another number with this video. Call forwarding allows you to redirect your calls to another destination, ideal when you are on vacation or when someone else manages your activity. Follow our tips to configure call forwarding in your settings and choose the number or contact of your choice.","Forward your calls to another number
Discover how to forward your calls to another number with this video. Call forwarding allows you to redirect your calls to another destination, ideal when you are on vacation or when someone else manages your activity. Follow our tips to configure call forwarding in your settings and choose the number or contact of your choice.",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,41.0,https://i.ibb.co/3msz2Wvf/item-111587.jpg
31,111588,Forward your calls to voicemail,"Learn how to forward your calls to voicemail in a few simple steps. Access call settings, select call forwarding to voicemail, and all your calls will be automatically redirected. Simplify your communication with Teams!","Forward your calls to voicemail
Learn how to forward your calls to voicemail in a few simple steps. Access call settings, select call forwarding to voicemail, and all your calls will be automatically redirected. Simplify your communication with Teams!",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,28.0,https://i.ibb.co/5gm4YK0X/item-111588.jpg
32,111589,Redirect to a group of people,,Redirect to a group of people,en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,83.0,https://i.ibb.co/j9ZSXzfQ/item-111589.jpg
33,111590,Make another number ring simultaneously,"Discover how to make another number ring simultaneously when a new call arrives. Whether you work with Teams or another device, this video explains step by step how to configure the call ringtone to choose where to handle the call.","Make another number ring simultaneously
Discover how to make another number ring simultaneously when a new call arrives. Whether you work with Teams or another device, this video explains step by step how to configure the call ringtone to choose where to handle the call.",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,48.0,https://i.ibb.co/Wv6Knj4Q/item-111590.jpg
34,111591,Disable all types of forwarding,"Discover how to disable all types of forwarding in this video. Learn how to access settings, choose the call ringtone and voicemail. Follow these simple steps to disable forwarding and have full control over your calls.","Disable all types of forwarding
Discover how to disable all types of forwarding in this video. Learn how to access settings, choose the call ringtone and voicemail. Follow these simple steps to disable forwarding and have full control over your calls.",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,45.0,https://i.ibb.co/N6h8b97w/item-111591.jpg
35,111592,Block certain call numbers,Learn how to block certain call numbers so you no longer receive their calls. Learn to block contacts from your history or from your contact list. A practical tip to better control your communication.,"Block certain call numbers
Learn how to block certain call numbers so you no longer receive their calls. Learn to block contacts from your history or from your contact list. A practical tip to better control your communication.",en,3 - Advanced,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,58.0,https://i.ibb.co/vCWf43Yw/item-111592.jpg
36,111593,Adjust Audio Devices,Discover how to adjust audio devices in Teams to ensure better communication. Learn how to plug in and configure your audio devices on your PC and choose your default devices. Don't miss this video to improve your communication experience in Teams.,"Adjust Audio Devices
Discover how to adjust audio devices in Teams to ensure better communication. Learn how to plug in and configure your audio devices on your PC and choose your default devices. Don't miss this video to improve your communication experience in Teams.",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,49.0,https://i.ibb.co/Gvc9RPCq/item-111593.jpg
37,111594,Edit your voicemail greeting,Learn how to edit your voicemail greeting with Teams. Personalize your message for more professional communication. Simply follow the steps in Teams call settings.,"Edit your voicemail greeting
Learn how to edit your voicemail greeting with Teams. Personalize your message for more professional communication. Simply follow the steps in Teams call settings.",en,1 - Beginner,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,72.0,https://i.ibb.co/8nQzf7p2/item-111594.jpg
38,111595,Access voicemail,"Discover how to access voicemail in Teams. Receive new messages with a red call icon and view them in the message list. You can listen to them in audio, adjust playback speed, or read the transcription. Easy and convenient!","Access voicemail
Discover how to access voicemail in Teams. Receive new messages with a red call icon and view them in the message list. You can listen to them in audio, adjust playback speed, or read the transcription. Easy and convenient!",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,tutorial,52.0,https://i.ibb.co/FqsT85Zk/item-111595.jpg
39,111596,Receive your Teams phone calls on the mobile app,"Learn how to receive your Teams phone calls on the mobile app. Enjoy mobility with the Teams smartphone app, manage your calls like on your PC, access call history and voicemail. Communicate easily with Teams.","Receive your Teams phone calls on the mobile app
Learn how to receive your Teams phone calls on the mobile app. Enjoy mobility with the Teams smartphone app, manage your calls like on your PC, access call history and voicemail. Communicate easily with Teams.",en,2 - Intermediate,"Communicate, Mobility, Telephony & Video Conferencing",Teams,,tutorial,51.0,https://i.ibb.co/HfdkRfmv/item-111596.jpg
40,113676,Save money by sharing a phone line,"Discover how to save money by sharing a phone line in Microsoft 365. In this video titled ""Save money by sharing a phone line"", you'll learn how to use the call feature in Teams to share incoming calls with your team.
You'll see how to create a call group and choose the call distribution mode.
This method lets you stay available to answer calls even when you're on break, while saving on the cost of opening a phone line for each team member.
Don't miss this tip to optimize your resources and enjoy real breaks.","Save money by sharing a phone line
Discover how to save money by sharing a phone line in Microsoft 365. In this video titled ""Save money by sharing a phone line"", you'll learn how to use the call feature in Teams to share incoming calls with your team.
You'll see how to create a call group and choose the call distribution mode.
This method lets you stay available to answer calls even when you're on break, while saving on the cost of opening a phone line for each team member.
Don't miss this tip to optimize your resources and enjoy real breaks.",en,2 - Intermediate,"Communicate, Telephony & Video Conferencing",Teams,,use_case,101.0,https://i.ibb.co/QBCrNGw/item-113676.jpg
41,117890,Find all shares from the same person,"Discover how to easily find all shares from the same person in Microsoft 365. In this video titled ""Find all shares from the same person"", you will learn how to use OneDrive to group all documents shared with you, whether on OneDrive or SharePoint.
You will see how to filter documents by person’s name and know the date of the last modification.
Stop wasting time searching for shared documents; everything is grouped in OneDrive.
Watch the video to discover this handy feature and optimize your use of Microsoft 365.","Find all shares from the same person
Discover how to easily find all shares from the same person in Microsoft 365. In this video titled ""Find all shares from the same person"", you will learn how to use OneDrive to group all documents shared with you, whether on OneDrive or SharePoint.
You will see how to filter documents by person’s name and know the date of the last modification.
Stop wasting time searching for shared documents; everything is grouped in OneDrive.
Watch the video to discover this handy feature and optimize your use of Microsoft 365.",en,2 - Intermediate,"Share, Organize",OneDrive,,use_case,96.0,https://i.ibb.co/Jwfdt9CL/item-117890.jpg
