item_idx,item_id,title,description,text,language,difficulty,theme,software,job,type,duration
11,102273,Créez une prévision,"Découvrez comment créer une prévision rapidement et facilement dans Microsoft 365 grâce à cette vidéo pratique.<br>Cette ressource vous montre comment utiliser la fonctionnalité de prévision dans Excel pour prédire les tendances futures à partir de données historiques.<br>Vous apprendrez également comment personnaliser les paramètres de prévision pour obtenir des résultats précis.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur prise de décision en utilisant des données prédictives.<br>Les tags associés sont Microsoft 365, Excel, prévision, données.","Créez une prévision [SEP] Découvrez comment créer une prévision rapidement et facilement dans Microsoft 365 grâce à cette vidéo pratique.<br>Cette ressource vous montre comment utiliser la fonctionnalité de prévision dans Excel pour prédire les tendances futures à partir de données historiques.<br>Vous apprendrez également comment personnaliser les paramètres de prévision pour obtenir des résultats précis.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur prise de décision en utilisant des données prédictives.<br>Les tags associés sont Microsoft 365, Excel, prévision, données.",fr,3 - Avancé,Nouveauté,Excel,,tutoriel,49.0
12,102274,"Démarrez avec ""Idées"" dans Excel","Découvrez comment démarrer avec ""Idées"" dans Excel pour une utilisation professionnelle dans la solution Microsoft 365. Cette fonctionnalité puissante vous permet d'analyser rapidement vos données et de générer des suggestions intelligentes pour vos tableaux.<br>Apprenez comment activer et utiliser ""Idées"" pour gagner du temps et obtenir des informations précieuses.<br>Regardez la vidéo ""Démarrer avec 'Idées' dans Excel"" pour maîtriser cette fonctionnalité essentielle et optimiser votre productivité.","Démarrez avec ""Idées"" dans Excel [SEP] Découvrez comment démarrer avec ""Idées"" dans Excel pour une utilisation professionnelle dans la solution Microsoft 365. Cette fonctionnalité puissante vous permet d'analyser rapidement vos données et de générer des suggestions intelligentes pour vos tableaux.<br>Apprenez comment activer et utiliser ""Idées"" pour gagner du temps et obtenir des informations précieuses.<br>Regardez la vidéo ""Démarrer avec 'Idées' dans Excel"" pour maîtriser cette fonctionnalité essentielle et optimiser votre productivité.",fr,1 - Découverte,Nouveauté,Excel,,tutoriel,40.0
13,109211,Quelles sont les bonnes pratiques avec Teams ?,"Découvrez les meilleures pratiques pour une collaboration efficace avec Microsoft Teams dans le webinar ""Quelles sont les bonnes pratiques avec Teams ?"".<br>Ce cours vous permettra d'identifier les bonnes pratiques d'utilisation de Teams et de favoriser la collaboration en entreprise.<br>Vous apprendrez comment diffuser et partager ces bonnes pratiques pour une utilisation optimale de l'outil.<br>Téléchargez également le document complémentaire ""Les 10 conseils pratiques de Teams"" pour renforcer vos connaissances.<br>Ne manquez pas cette opportunité d'améliorer votre productivité et votre communication professionnelle avec Teams.","Quelles sont les bonnes pratiques avec Teams ? [SEP] Découvrez les meilleures pratiques pour une collaboration efficace avec Microsoft Teams dans le webinar ""Quelles sont les bonnes pratiques avec Teams ?"".<br>Ce cours vous permettra d'identifier les bonnes pratiques d'utilisation de Teams et de favoriser la collaboration en entreprise.<br>Vous apprendrez comment diffuser et partager ces bonnes pratiques pour une utilisation optimale de l'outil.<br>Téléchargez également le document complémentaire ""Les 10 conseils pratiques de Teams"" pour renforcer vos connaissances.<br>Ne manquez pas cette opportunité d'améliorer votre productivité et votre communication professionnelle avec Teams.",fr,,,,,webcast,1673.0
14,11,Nouveautés et améliorations Office,"<p>Découvrez les dernières nouveautés et améliorations d&#039;Office 2016 pour améliorer votre productivité professionnelle grâce à Microsoft 365. Cette vidéo présente les nouvelles fonctionnalités d&#039;Office 2016, telles que la collaboration en temps réel, la recherche intelligente et la sécurité renforcée.<br />
Obtenez des astuces pratiques pour utiliser ces fonctionnalités et améliorer votre travail quotidien.<br />
Cette vidéo est utile pour les professionnels utilisant Microsoft 365 et souhaitant optimiser leur utilisation d&#039;Office 2016. Les tags associés sont les nouveautés, les améliorations, Office 2016, Microsoft 365 et les astuces.</p>","Nouveautés et améliorations Office [SEP] <p>Découvrez les dernières nouveautés et améliorations d&#039;Office 2016 pour améliorer votre productivité professionnelle grâce à Microsoft 365. Cette vidéo présente les nouvelles fonctionnalités d&#039;Office 2016, telles que la collaboration en temps réel, la recherche intelligente et la sécurité renforcée.<br />
Obtenez des astuces pratiques pour utiliser ces fonctionnalités et améliorer votre travail quotidien.<br />
Cette vidéo est utile pour les professionnels utilisant Microsoft 365 et souhaitant optimiser leur utilisation d&#039;Office 2016. Les tags associés sont les nouveautés, les améliorations, Office 2016, Microsoft 365 et les astuces.</p>",fr,,,,,webcast,2932.0
15,110170,Premiers pas," Découvrez comment démarrer avec Microsoft 365 dans cette vidéo pratique pour les débutants.<br>Cette ressource vous montre comment accéder aux applications de Microsoft 365, créer et partager des fichiers, et collaborer avec vos collègues.<br>Vous apprendrez également comment personnaliser votre expérience utilisateur pour répondre à vos besoins spécifiques.<br>Cette vidéo est destinée aux nouveaux utilisateurs professionnels de Microsoft 365 souhaitant se familiariser avec la plateforme.<br>Les tags associés sont Microsoft 365, débutants, applications, collaboration.","Premiers pas [SEP]  Découvrez comment démarrer avec Microsoft 365 dans cette vidéo pratique pour les débutants.<br>Cette ressource vous montre comment accéder aux applications de Microsoft 365, créer et partager des fichiers, et collaborer avec vos collègues.<br>Vous apprendrez également comment personnaliser votre expérience utilisateur pour répondre à vos besoins spécifiques.<br>Cette vidéo est destinée aux nouveaux utilisateurs professionnels de Microsoft 365 souhaitant se familiariser avec la plateforme.<br>Les tags associés sont Microsoft 365, débutants, applications, collaboration.",fr,,Découvrir,Aster,,tutoriel,129.0
16,110171,Compléter le compte-rendu en réunion,"Découvrez comment exploiter les comptes rendus de réunion de votre équipe dans Excel avec Microsoft Teams dans cette vidéo pratique.<br>Cette ressource vous montre comment créer des tableaux de compte rendu dans Teams, les partager avec vos collaborateurs et les exploiter dans Excel pour obtenir des indicateurs de performance.<br>Vous apprendrez également comment créer un tableau croisé dynamique pour approfondir l'analyse de vos données.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur gestion de compte rendu de réunion.<br>Les tags associés sont Microsoft 365, Teams, Excel, compte rendu de réunion.","Compléter le compte-rendu en réunion [SEP] Découvrez comment exploiter les comptes rendus de réunion de votre équipe dans Excel avec Microsoft Teams dans cette vidéo pratique.<br>Cette ressource vous montre comment créer des tableaux de compte rendu dans Teams, les partager avec vos collaborateurs et les exploiter dans Excel pour obtenir des indicateurs de performance.<br>Vous apprendrez également comment créer un tableau croisé dynamique pour approfondir l'analyse de vos données.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur gestion de compte rendu de réunion.<br>Les tags associés sont Microsoft 365, Teams, Excel, compte rendu de réunion.",fr,,S'organiser,Aster,,tutoriel,157.0
17,110172,Que se passe-t-il quand je crée ma réunion depuis Outlook ?,"Découvrez comment organiser une réunion efficacement avec Outlook Online dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment créer une réunion en utilisant votre calendrier dans Outlook Online, ajouter des participants, vérifier leur disponibilité et ajouter des pièces jointes.<br>Vous apprendrez également comment utiliser Teams lors de votre réunion pour une collaboration en ligne.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur organisation de réunion.<br>Les tags associés sont Microsoft 365, Outlook, réunion, Teams.","Que se passe-t-il quand je crée ma réunion depuis Outlook ? [SEP] Découvrez comment organiser une réunion efficacement avec Outlook Online dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment créer une réunion en utilisant votre calendrier dans Outlook Online, ajouter des participants, vérifier leur disponibilité et ajouter des pièces jointes.<br>Vous apprendrez également comment utiliser Teams lors de votre réunion pour une collaboration en ligne.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur organisation de réunion.<br>Les tags associés sont Microsoft 365, Outlook, réunion, Teams.",fr,,S'organiser,Aster,,tutoriel,60.0
18,110173,De l'ordre du jour au compte-rendu,"Découvrez comment utiliser les outils de la suite Microsoft 365 pour passer de l'ordre du jour au compte-rendu dans cette vidéo pratique pour les professionnels.<br>Cette ressource vous montre comment créer un ordre du jour dans OneNote, l'envoyer aux participants de la réunion via Outlook et comment prendre des notes pendant la réunion.<br>Vous apprendrez également comment transformer ces notes en compte-rendu de réunion dans OneNote et comment le partager avec les participants.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur gestion de réunion.<br>Les tags associés sont Microsoft 365, OneNote, Outlook, compte-rendu de réunion.","De l'ordre du jour au compte-rendu [SEP] Découvrez comment utiliser les outils de la suite Microsoft 365 pour passer de l'ordre du jour au compte-rendu dans cette vidéo pratique pour les professionnels.<br>Cette ressource vous montre comment créer un ordre du jour dans OneNote, l'envoyer aux participants de la réunion via Outlook et comment prendre des notes pendant la réunion.<br>Vous apprendrez également comment transformer ces notes en compte-rendu de réunion dans OneNote et comment le partager avec les participants.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur gestion de réunion.<br>Les tags associés sont Microsoft 365, OneNote, Outlook, compte-rendu de réunion.",fr,,,Aster,,tutoriel,90.0
19,110174,Contribuer à une réunion,"Découvrez comment participer à une réunion en ligne depuis votre smartphone avec Microsoft Teams dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment rejoindre une réunion depuis l'application Teams sur votre smartphone, ajouter des participants, activer la caméra et partager des fichiers.<br>Vous apprendrez également comment visualiser l'écran partagé ou les documents présentés par l'organisateur de la réunion.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur participation à des réunions en ligne.<br>Les tags associés sont Microsoft 365, Teams, réunion en ligne, smartphone.","Contribuer à une réunion [SEP] Découvrez comment participer à une réunion en ligne depuis votre smartphone avec Microsoft Teams dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment rejoindre une réunion depuis l'application Teams sur votre smartphone, ajouter des participants, activer la caméra et partager des fichiers.<br>Vous apprendrez également comment visualiser l'écran partagé ou les documents présentés par l'organisateur de la réunion.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur participation à des réunions en ligne.<br>Les tags associés sont Microsoft 365, Teams, réunion en ligne, smartphone.",fr,,Produire,Aster,,tutoriel,115.0
20,110175,"Connexion à MS Teams, Planner et Sharepoint"," Découvrez comment vous connecter à Microsoft Teams, Planner et SharePoint dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment accéder à ces outils depuis votre compte Office 365, comment utiliser Planner pour organiser et suivre les tâches de votre équipe, comment utiliser Teams pour communiquer et collaborer avec vos collègues et comment utiliser SharePoint pour stocker et partager des fichiers en toute sécurité.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur utilisation de ces outils de collaboration.<br>Les tags associés sont Microsoft 365, Teams, Planner, SharePoint.","Connexion à MS Teams, Planner et Sharepoint [SEP]  Découvrez comment vous connecter à Microsoft Teams, Planner et SharePoint dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment accéder à ces outils depuis votre compte Office 365, comment utiliser Planner pour organiser et suivre les tâches de votre équipe, comment utiliser Teams pour communiquer et collaborer avec vos collègues et comment utiliser SharePoint pour stocker et partager des fichiers en toute sécurité.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur utilisation de ces outils de collaboration.<br>Les tags associés sont Microsoft 365, Teams, Planner, SharePoint.",fr,,,Aster,,tutoriel,151.0
21,110611,Aster pour créer ma réunion récurrente,"Découvrez comment créer une réunion récurrente avec l'outil Microsoft Teams dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment utiliser l'outil de planification de réunion pour créer une réunion récurrente, définir les participants et les horaires, et envoyer des invitations.<br>Vous apprendrez également comment gérer les réunions récurrentes et apporter des modifications si nécessaire.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur gestion de réunions récurrentes.<br>Les tags associés sont Microsoft 365, Teams, planification de réunion, réunions récurrentes.","Aster pour créer ma réunion récurrente [SEP] Découvrez comment créer une réunion récurrente avec l'outil Microsoft Teams dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment utiliser l'outil de planification de réunion pour créer une réunion récurrente, définir les participants et les horaires, et envoyer des invitations.<br>Vous apprendrez également comment gérer les réunions récurrentes et apporter des modifications si nécessaire.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur gestion de réunions récurrentes.<br>Les tags associés sont Microsoft 365, Teams, planification de réunion, réunions récurrentes.",fr,1 - Découverte,S'organiser,Aster,,cas_usage,289.0
22,110612,Compléter le compte-rendu depuis la prise de notes," Découvrez comment compléter le compte-rendu d'une réunion en utilisant les outils de prise de notes de Microsoft 365 dans cette vidéo pratique pour les professionnels.<br>Cette ressource vous montre comment utiliser OneNote pour prendre des notes pendant la réunion, puis comment utiliser ces notes pour créer un compte-rendu détaillé et professionnel.<br>Vous apprendrez également comment partager le compte-rendu avec les participants de la réunion et comment collaborer avec eux pour apporter des modifications si nécessaire.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur prise de notes et leur compte-rendu de réunion.<br>Les tags associés sont Microsoft 365, OneNote, compte-rendu de réunion, prise de notes.","Compléter le compte-rendu depuis la prise de notes [SEP]  Découvrez comment compléter le compte-rendu d'une réunion en utilisant les outils de prise de notes de Microsoft 365 dans cette vidéo pratique pour les professionnels.<br>Cette ressource vous montre comment utiliser OneNote pour prendre des notes pendant la réunion, puis comment utiliser ces notes pour créer un compte-rendu détaillé et professionnel.<br>Vous apprendrez également comment partager le compte-rendu avec les participants de la réunion et comment collaborer avec eux pour apporter des modifications si nécessaire.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur prise de notes et leur compte-rendu de réunion.<br>Les tags associés sont Microsoft 365, OneNote, compte-rendu de réunion, prise de notes.",fr,1 - Découverte,,Aster,,cas_usage,28.0
23,110613,Le Time Keeper," Découvrez comment enregistrer vos heures de travail et définir des rappels de déconnexion avec l'outil Time Keeper de Microsoft Insight dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment saisir vos horaires de travail et définir des rappels de déconnexion pour vous aider à mieux gérer votre temps et à établir une frontière claire entre votre vie professionnelle et personnelle.<br>Vous apprendrez également comment utiliser le trajet virtuel pour programmer un rappel dans Microsoft Teams et comment personnaliser vos paramètres de semaine de travail.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur gestion du temps et leur équilibre travail-vie personnelle.<br>Les tags associés sont Microsoft 365, Time Keeper, gestion du temps, rappels de déconnexion.","Le Time Keeper [SEP]  Découvrez comment enregistrer vos heures de travail et définir des rappels de déconnexion avec l'outil Time Keeper de Microsoft Insight dans cette vidéo pratique pour les professionnels de Microsoft 365. Cette ressource vous montre comment saisir vos horaires de travail et définir des rappels de déconnexion pour vous aider à mieux gérer votre temps et à établir une frontière claire entre votre vie professionnelle et personnelle.<br>Vous apprendrez également comment utiliser le trajet virtuel pour programmer un rappel dans Microsoft Teams et comment personnaliser vos paramètres de semaine de travail.<br>Cette vidéo est destinée aux utilisateurs professionnels de Microsoft 365 souhaitant améliorer leur gestion du temps et leur équilibre travail-vie personnelle.<br>Les tags associés sont Microsoft 365, Time Keeper, gestion du temps, rappels de déconnexion.",fr,2 - Intermédiaire,,Aster,,cas_usage,71.0
